"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Elk Lake Dam","","","NJ00697","","NJ00697","Division of Fish & Wildlife","State","State","34-26","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.41223333333333","-75.30526666666667","Cumberland","New Jersey","","","Mounce Creek","Congressional District 02, New Jersey","HOPEWELL TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","10","","","10","Less than 25 feet","800","","","Undetermined","95","95","65","15","0.15","","","","","","","","","2022-04-11","","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Clarks Pond Dam","","","NJ00071","","NJ00071","Division of Fish & Wildlife","State","State","34-15","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.39296666666666","-75.19843333333333","Cumberland","New Jersey","","","Mill Creek","Congressional District 02, New Jersey","FAIRFIELD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","9","","","9","Less than 25 feet","600","","","Undetermined","172","","172","45","7","288","","","","","","","","2022-04-11","2001-01-09","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Green Pond Reservoir Dam","","","NJ00335","","NJ00335","Department of the Army","Federal","Federal","22-186","","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.98786666666667","-74.51441666666666","Morris","New Jersey","","","Green Pond Brook","Congressional District 11, New Jersey","","","","","","","","","","Recreation","Recreation","Other","Other","","","15","","","15","Less than 25 feet","550","","","Undetermined","450","","450","460","1.8","21","","","","","","","","2022-04-11","","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Thundergut Pond Dam","","","NJ00688","","NJ00688","Division of Fish & Wildlife","State","State","34-24","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.53315","-75.33840000000001","Salem","New Jersey","","","Deep Run","Congressional District 02, New Jersey","ALLOWAY TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","380","","1955","1950-1959","125","125","60","15","0.4","140","","","","","","","","2022-04-11","2019-08-20","4","Low","Poor","2019-08-20","Not Required","","https://damsafety.org/new-jersey"
"Glauberman Lake Dam","","","NJ00290","","NJ00290","Division of Fish & Wildlife","State","State","22-105","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.08256666666666","-74.72213333333333","Sussex","New Jersey","Balesville","","Paulinskill","Congressional District 05, New Jersey","HAMPTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","980","","1933","1930-1939","61","61","61","15","0.6","783","","","","","","","","2022-04-11","2000-10-15","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Lake Sycamore Dam","","","NJ00104","","NJ00104","Division of Fish & Wildlife","State","State","30-4","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.55825","-75.33796666666666","Salem","New Jersey","","","Cesar Brook","Congressional District 02, New Jersey","ALLOWAY TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","585","","","Undetermined","180","","180","19","4","719","","","","","","","","2022-04-11","2011-11-28","4","Low","Poor","2011-11-28","Not Required","","https://damsafety.org/new-jersey"
"Ursino Dam","","","NJ00387","","NJ00387","City of Elizabeth","Local Government","Local Government","26-26","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.6754","-74.22240000000001","Union","New Jersey","Linden","","Elizabeth River","Congressional District 10, New Jersey","ELIZABETH CITY","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Concrete","Concrete","","","13.3","","","13.3","Less than 25 feet","104","","1927","1920-1929","680","680","530","60","16.9","5900","","","","","","","","2022-04-11","2001-04-24","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Jefferson Lake Dike","","","NJ00670","","NJ00670","Division of Parks and Forestry","State","State","25-51","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.92848333333333","-74.73316666666666","Sussex","New Jersey","","","Musconetcong River","Congressional District 11, New Jersey","BYRAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","14","","","14","Less than 25 feet","300","","","Undetermined","150","","150","50","50.9","","","","","","","","","2022-04-11","1980-01-01","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Gaunts Reservoir Dam","","","NJ00518","","NJ00518","Division of Parks and Forestry","State","State","32-41","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.97608333333333","-74.4693","Ocean","New Jersey","","","Gaunts Branch","Congressional District 04, New Jersey","MANCHESTER TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth","","","8","","","8","Less than 25 feet","225","","","Undetermined","51","","51","13","4.3","31","","","","","","","","2022-04-11","2002-12-30","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Picatinny Lake ","330","Dam 1","NJ00002 ","","NJ00002 ","Picatinny Arsenal","Federal","Federal","2231","","","","Yes","Yes","NJDEP","Yes","Yes","Yes","US Army","40.949600000000004","-74.55642","Morris","New Jersey","Dover","5","Green Pond Brook","Congressional District 11, New Jersey","","US Army","US Army","US Army","US Army","US Army","US Army","US Army","US Army","Water Supply","Fish and Wildlife Pond;Recreation;Water Supply;Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond","Earth","Earth","Earth;Unlisted/Unknown","Rock;Soil","15","14","15","15","Less than 25 feet","700","","1904","1900-1909","655","655","380","110","9","1799","Controlled","61","","","","2012","Slide (sluice gate)6","2022-04-18","2018-07-24","4","High","Not Available","","Yes","2008-08-05","https://www.army.mil/"
"Neptune Basin Dam","","","NJ01025","","NJ01025","Township of Stafford","Local Government","Local Government","33-33","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.73916666666667","-74.301","Ocean","New Jersey","Stafford","","","Congressional District 03, New Jersey","STAFFORD TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","","","18","","","18","Less than 25 feet","300","","","Undetermined","0","","","","0.55","","","","","","","","","2022-04-11","2021-05-14","2","Significant","Poor","2021-05-14","Yes","2020-04-01","https://damsafety.org/new-jersey"
"Oswego Dam","","","NJ00046","","NJ00046","Division of Parks and Forestry","State","State","32-15","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.73156666666666","-74.48883333333333","Burlington","New Jersey","","","Oswego River","Congressional District 02, New Jersey","WASHINGTON TOWNSHIP","","","","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","855","","1936","1930-1939","437","","437","89","56.300000000000004","1731","","","","","","","","2022-04-11","2020-11-24","2","Significant","Poor","2020-11-24","Yes","2018-07-16","https://damsafety.org/new-jersey"
"Perrineville Dam","","","NJ00451","","NJ00451","Monmouth County Engineering","Local Government","Local Government","28-35","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.22718333333333","-74.4393","Monmouth","New Jersey","","","Rocky Brook","Congressional District 04, New Jersey","MILLSTONE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","17","","","17","Less than 25 feet","450","","","Undetermined","36","","36","12","2.8000000000000003","","","","","","","","","2022-04-11","2020-03-20","2","Significant","Poor","2020-03-20","Yes","2021-07-01","https://damsafety.org/new-jersey"
"Indian Dam","","","NJ00188","","NJ00188","Monmouth County Engineering","Local Government","Local Government","28-29","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.1813","-74.58931666666666","Monmouth","New Jersey","","","Indian Run","Congressional District 04, New Jersey","ALLENTOWN BOROUGH","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","17.1","","","17.1","Less than 25 feet","270","","1937","1930-1939","10","","10","5","1.7","40","","","","","","","","2022-04-11","2020-12-03","2","Significant","Poor","2020-12-03","Yes","","https://damsafety.org/new-jersey"
"Yantacaw Brook Dam","","","NJ01057","","NJ01057","Township of Montclair","Local Government","Local Government","26-87","","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.840216666666656","-74.1904","Essex","New Jersey","Montclair","","Yancataw Creek","Congressional District 11, New Jersey","","","","","","","","","","Recreation","Recreation","Earth","Earth","","","8","","","8","Less than 25 feet","130","","","Undetermined","0","","","","","","","","","","","","","2022-04-11","2020-11-10","2","Significant","Poor","2020-11-10","Yes","2021-04-19","https://damsafety.org/new-jersey"
"Upper Mohawk Lake Dam","","","NJ00292","","NJ00292","Lake Mohawk Country Club","Private","Private","22-73","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.03356666666666","-74.66268333333333","Sussex","New Jersey","Sparta","","Paulinskill River-TR","Congressional District 11, New Jersey","SPARTA TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","16.3","","","16.3","Less than 25 feet","440","","1927","1920-1929","142","142","100","20","0.19","65","","","","","","","","2022-04-11","2020-07-14","2","High","Satisfactory","2020-07-14","Yes","2020-07-28","https://damsafety.org/new-jersey"
"Mount Hope Lake Dam","","","NJ00464","","NJ00464","Tilcon NY, Inc.","Private","Private","25-124","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.92293333333333","-74.53468333333333","Morris","New Jersey","Rockaway","","White Meadow Brook","Congressional District 11, New Jersey","ROCKAWAY TOWNSHIP","","","","","","","","","Recreation","Recreation;Hydroelectric","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","1252","","1944","1940-1949","1953","1953","633","100","2","858","","","","","","","","2022-04-11","2021-08-27","2","High","Satisfactory","2021-08-27","Yes","2014-01-10","https://damsafety.org/new-jersey"
"Lake Tamarack Dam","","","NJ00301","","NJ00301","Lake Tamarack Association","Private","Private","22-172","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.09606666666666","-74.53696666666666","Sussex","New Jersey","","","Franklin Pond Creek-TR","Congressional District 05, New Jersey","HARDYSTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","10","","","10","Less than 25 feet","300","","1940","1940-1949","198","","198","34","0.8","8","","","","","","","","2022-04-11","2021-12-31","2","High","Satisfactory","2021-12-31","Yes","2021-11-05","https://damsafety.org/new-jersey"
"Lake Gerard Dam","","","NJ00300","","NJ00300","Lake Gerard, LLC","Private","Private","22-61","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.1051","-74.55168333333333","Sussex","New Jersey","Franklin","","Franklin Pond Creek","Congressional District 05, New Jersey","HARDYSTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","10","","","10","Less than 25 feet","1200","","1930","1930-1939","1157","1157","960","105","1.9000000000000001","2150","","","","","","","","2022-04-11","2020-07-18","2","High","Satisfactory","2020-07-18","Yes","2011-06-17","https://damsafety.org/new-jersey"
"Lookover Lake Dam","","","NJ00565","","NJ00565","Lake Lookover Property Owners Association","Private","Private","22-84","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.153949999999995","-74.39798333333333","Passaic","New Jersey","West Milford","","Longhouse Brook","Congressional District 05, New Jersey","WEST MILFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","150","","","Undetermined","53","53","40","13","1.4000000000000001","120","","","","","","","","2022-04-11","2021-10-28","2","High","Satisfactory","2021-10-28","Yes","2016-02-16","https://damsafety.org/new-jersey"
"Kandle Lake Dam","","","NJ00435","","NJ00435","Kandle Land Associates","Private","Private","31-46","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.73073333333333","-75.08838333333334","Gloucester","New Jersey","Pitman","","Branch Mantua Creek","Congressional District 01, New Jersey","WASHINGTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","9","","","9","Less than 25 feet","400","","","Undetermined","44","","44","16","2.1","","","","","","","","","2022-04-11","2020-11-11","2","Significant","Satisfactory","2020-11-11","Yes","2018-12-21","https://damsafety.org/new-jersey"
"Oldham Pond Dam","","","NJ00238","","NJ00238","William Paterson University","Private","Private","23-13","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.94563333333333","-74.18188333333333","Passaic","New Jersey","Haledon","","Molly Ann Brook","Congressional District 11, New Jersey","NORTH HALEDON BOROUGH","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","850","","1849","Before 1900","153","153","77","17","5.3","5200","","","","","","","","2022-04-11","2020-10-15","2","High","Satisfactory","2020-10-15","Yes","2021-01-20","https://damsafety.org/new-jersey"
"Lake Gerard Dam A","","","NJ00961","","NJ00961","Lake Gerard, LLC","Private","Private","22-307","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.105900000000005","-74.5411","Sussex","New Jersey","Franklin","","Franklin Pond Creek","Congressional District 05, New Jersey","HARDYSTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Concrete","Concrete","","","16","","","16","Less than 25 feet","130","","1930","1930-1939","1157","1157","960","105","1.9000000000000001","","","","","","","","","2022-04-11","2020-07-18","2","High","Satisfactory","2020-07-18","Yes","2016-10-05","https://damsafety.org/new-jersey"
"Kenilworth Lake Dam","","","NJ00408","","NJ00408","Pine Acres Associates","Private","Private","31-81","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.84616666666667","-74.91401666666667","Burlington","New Jersey","","","Barton Run-TR","Congressional District 03, New Jersey","EVESHAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","17","","","17","Less than 25 feet","300","","","Undetermined","140","140","82","15","1.7","145","","","","","","","","2022-04-11","2020-04-14","2","Significant","Satisfactory","2020-04-14","Yes","2015-01-15","https://damsafety.org/new-jersey"
"Lake Gerard Dike C","","","NJ00963","","NJ00963","Lake Gerard, LLC","Private","Private","22-309","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.10651666666666","-74.54848333333334","Sussex","New Jersey","Franklin","","Franklin Pond Creek","Congressional District 05, New Jersey","HARDYSTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth","","","12","","","12","Less than 25 feet","1275","","","Undetermined","1157","1157","960","105","1.9000000000000001","","","","","","","","","2022-04-11","2020-07-18","2","High","Satisfactory","2020-07-18","Yes","2011-06-17","https://damsafety.org/new-jersey"
"Amwell #2 Dam","","","NJ00522","","NJ00522","Amwell Valley Conservancy","Private","Private","27-14","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.4089","-74.90820000000001","Hunterdon","New Jersey","","","Alexanken Creek-TR","Congressional District 07, New Jersey","WEST AMWELL TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","19.2","","","19.2","Less than 25 feet","285","","","Undetermined","69","","69","12","0.9","223","","","","","","","","2022-04-11","2020-11-05","2","Significant","Satisfactory","2020-11-05","Yes","2022-01-31","https://damsafety.org/new-jersey"
"Kampfe Lake Dam","","","NJ00772","","NJ00772","Kampfe Lake Association Inc.","Private","Private","22-180","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.028549999999996","-74.34773333333334","Passaic","New Jersey","Bloomingdale","","Pequannock River-TR","Congressional District 11, New Jersey","BLOOMINGDALE BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12.5","","","12.5","Less than 25 feet","180","","1897","Before 1900","228","228","154","26","0.85","350","","","","","","","","2022-04-11","2021-10-06","2","High","Satisfactory","2021-10-06","Yes","2020-01-27","https://damsafety.org/new-jersey"
"Upper Highland Lake Dam","","","NJ00797","","NJ00797","Highland Lakes Country Club and Community Assoc.","Private","Private","22-134","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.17875","-74.46705","Sussex","New Jersey","Vernon","","Highland Lakes-TR","Congressional District 05, New Jersey","VERNON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","17.6","","","17.6","Less than 25 feet","311","","1940","1940-1949","88","88","47","12","0.12","416","","","","","","","","2022-04-11","2020-11-13","2","High","Satisfactory","2020-11-13","Yes","2012-05-17","https://damsafety.org/new-jersey"
"Tall Pines Farm Dam","","","NJ00532","","NJ00532","David G. Mattes","Private","Private","21-74","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.074266666666674","-74.89313333333334","Sussex","New Jersey","Middleville","","Trout Brook","Congressional District 05, New Jersey","STILLWATER TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","23","","","23","Less than 25 feet","510","","1957","1950-1959","73","73","62","9","0.15","55","","","","","","","","2022-04-11","2021-08-08","2","Significant","Satisfactory","2021-08-08","Yes","2022-02-24","https://damsafety.org/new-jersey"
"Lake Gerard Dike B","","","NJ00962","","NJ00962","Lake Gerard, LLC","Private","Private","22-308","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.104033333333334","-74.54275","Sussex","New Jersey","Franklin","","Franklin Pond Creek","Congressional District 05, New Jersey","HARDYSTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth","","","15","","","15","Less than 25 feet","330","","","Undetermined","1157","1157","960","105","1.9000000000000001","","","","","","","","","2022-04-11","2020-07-18","2","High","Satisfactory","2020-07-18","Yes","2011-06-17","https://damsafety.org/new-jersey"
"Forest Lake Dam","","","NJ00324","","NJ00324","Forest Lakes Club","Private","Private","22-99","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.97438333333333","-74.7329","Sussex","New Jersey","Andover","","Pequest River-TR","Congressional District 11, New Jersey","BYRAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Masonry","Masonry","","","20","","","20","Less than 25 feet","300","","1951","1950-1959","61","","61","30","0.5","2","","","","","","","","2022-04-11","2020-12-03","2","High","Satisfactory","2020-12-03","Yes","2021-08-31","https://damsafety.org/new-jersey"
"Frenches Pond Dam","","","NJ00503","","NJ00503","Patriots' Path Council, B.S.A","Private","Private","24-100","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.91908333333333","-74.77053333333333","Sussex","New Jersey","Hackettstown","","Musconetcong River-TR","Congressional District 11, New Jersey","BYRAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth","","","13","","","13","Less than 25 feet","225","","1850","Before 1900","210","210","180","18","1.6500000000000001","105","","","","","","","","2022-04-11","2020-12-15","2","High","Satisfactory","2020-12-15","Yes","2007-09-20","https://damsafety.org/new-jersey"
"Rockaway Townsquare Mall Dam","","","NJ00964","","NJ00964","Simon Property Group","Private","Private","25-273","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.904","-74.559","Morris","New Jersey","Wharton","","Burnt Meadow Brook-TR","Congressional District 11, New Jersey","ROCKAWAY TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","","","17","","","17","Less than 25 feet","1000","","","Undetermined","92","92","26","4","0.28","452","","","","","","","","2022-04-11","2020-08-21","2","Significant","Satisfactory","2020-08-21","Yes","2016-08-17","https://damsafety.org/new-jersey"
"Preakness Hills C.C. Dam No. 1","","","NJ00980","","NJ00980","Preakness Hills Country Club","Private","Private","23-135","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.94841666666667","-74.23471666666666","Passaic","New Jersey","","","","Congressional District 11, New Jersey","WAYNE TOWNSHIP","","","","","","","","","Recreation","Irrigation;Recreation","Earth","Earth","","","15","","","15","Less than 25 feet","100","","","Undetermined","112","","112","15","","","","","","","","","","2022-04-11","2019-07-01","2","High","Satisfactory","2019-07-01","Yes","2009-08-28","https://damsafety.org/new-jersey"
"Wickapecko Dam","","","NJ00986","","NJ00986","Monmouth County Engineering","Local Government","Local Government","29-20","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.225183333333334","-74.02688333333333","Monmouth","New Jersey","Asbury Park","","Hollow Brook","Congressional District 06, New Jersey","OCEAN TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","225","","1915","1910-1919","235","235","35","2","0.72","731","","","","","","","","2022-04-11","2001-12-13","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Lake Tamarack Dam","","","NJ00206","","NJ00206","County of Bergen","Local Government","Local Government","23-38","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.05016666666667","-74.24301666666666","Bergen","New Jersey","","","Ramapo River-TR","Congressional District 05, New Jersey","OAKLAND BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","11","","","11","Less than 25 feet","200","","","Undetermined","98","","98","10","0.37","117","","","","","","","","2022-04-11","2017-06-14","4","Low","Poor","2017-06-14","Not Required","","https://damsafety.org/new-jersey"
"Camp Karney Dam","","","NJ00106","","NJ00106","County of Salem","Local Government","Local Government","30-8","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.63178333333333","-75.29168333333334","Salem","New Jersey","Woodstown","","Salem River","Congressional District 02, New Jersey","PILESGROVE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","1500","","1953","1950-1959","259","259","77","26","11.8","2734","","","","","","","","2022-04-11","2021-06-11","4","Low","Poor","2021-06-11","Not Required","","https://damsafety.org/new-jersey"
"Gale Dam","","","NJ00736","","NJ00736","County of Burlington","Local Government","Local Government","28-105","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.05663333333333","-74.54751666666667","Burlington","New Jersey","","","Crosswicks Creek-TR","Congressional District 03, New Jersey","NORTH HANOVER TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","300","","1970","1970-1979","98","98","70","10","1.4000000000000001","","","","","","","","","2022-04-11","2011-09-28","4","Low","Poor","2011-09-28","Not Required","","https://damsafety.org/new-jersey"
"Jefferson Lake Dam","","","NJ00326","","NJ00326","Division of Parks and Forestry","State","State","25-52","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.92668333333334","-74.73168333333334","Sussex","New Jersey","","","Lubbers Run-TR","Congressional District 11, New Jersey","BYRAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","450","","","Undetermined","250","","250","50","5","","","","","","","","","2022-04-11","2005-04-11","4","Low","Poor","2005-04-11","Not Required","","https://damsafety.org/new-jersey"
"Lake Aeroflex Dam","","","NJ00487","","NJ00487","Division of Parks and Forestry","State","State","22-222","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.01031666666667","-74.73518333333334","Sussex","New Jersey","","","Pequest River-TR","Congressional District 05, New Jersey","ANDOVER TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","50","","","Undetermined","360","","360","125","4.4","","","","","","","","","2022-04-11","2005-04-11","4","Low","Poor","2005-04-11","Not Required","","https://damsafety.org/new-jersey"
"Peapack-Gladstone Res Dam","","","NJ00849","","NJ00849","Township of Chester","Local Government","Local Government","25-77","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.76883333333333","-74.68033333333334","Morris","New Jersey","","","Peapack Brook","Congressional District 07, New Jersey","CHESTER TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","26","","","26","25-50 feet","435","","","Undetermined","61","","61","6","1.2","900","","","","","","","","2022-04-11","2017-05-02","4","Low","Poor","2017-05-02","Not Required","","https://damsafety.org/new-jersey"
"Maple Lake Dam","","","NJ00687","","NJ00687","Division of Fish & Wildlife","State","State","35-36","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.40546666666667","-74.77696666666667","Atlantic","New Jersey","","","Stephen Creek","Congressional District 02, New Jersey","ESTELL MANOR CITY","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","750","","","Undetermined","110","","110","38","5.3","","","","","","","","","2022-04-11","2000-11-22","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Pine Mill Lake Dam","","","NJ00049","","NJ00049","Township of Pemberton","Local Government","Local Government","32-22","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.97923333333333","-74.5736","Burlington","New Jersey","","","Jacks Run","Congressional District 03, New Jersey","PEMBERTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","300","","","Undetermined","95","","95","40","6.5","","","","","","","","","2022-04-11","2019-07-10","4","Low","Poor","2019-07-10","Not Required","","https://damsafety.org/new-jersey"
"Thomas Rich Dam","","","NJ00273","","NJ00273","Division of Fish & Wildlife","State","State","21-16","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.07311666666666","-74.79328333333333","Sussex","New Jersey","","","Paulinskill River-TR","Congressional District 05, New Jersey","HAMPTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","80","","1926","1920-1929","64","","64","6","1","","","","","","","","","2022-04-11","2007-05-24","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
"Lake Washington Dam","","","NJ00579","","NJ00579","Wanaque Borough","Local Government","Local Government","23-45","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.02908333333333","-74.29891666666666","Passaic","New Jersey","Haskell","","Wanaque River","Congressional District 11, New Jersey","WANAQUE BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","11","","","11","Less than 25 feet","475","","1930","1930-1939","60","60","48","8","6.7","125","","","","","","","","2022-04-11","2007-09-22","4","Low","Not Rated","","Not Required","","https://damsafety.org/new-jersey"
